ID,price actual
ID_027500,7116.413721409683
ID_027501,6836.314138088347
ID_027502,6479.790558278583
ID_027503,6127.495906235651
ID_027504,5682.8150771770115
ID_027505,5238.030136938891
ID_027506,4760.672260390551
ID_027507,4725.035984252141
ID_027508,4721.082949443696
ID_027509,4736.452872909939
ID_027510,5192.575748242445
ID_027511,6280.65271399782
ID_027512,6726.003974265426
ID_027513,6955.455261007446
ID_027514,6753.908522386114
ID_027515,6524.96871503476
ID_027516,6284.845192880426
ID_027517,6077.499959639451
ID_027518,5908.543772865435
ID_027519,5780.317251053218
ID_027520,5782.641052233598
ID_027521,6070.914120159993
ID_027522,6953.00967567647
ID_027523,6959.351713831623
ID_027524,7011.447996551184
ID_027525,6770.27301692525
ID_027526,6033.758927454739
ID_027527,5556.618990798585
ID_027528,4854.287829323013
ID_027529,4571.100195526702
ID_027530,4408.011343315781
ID_027531,4355.238046892491
ID_027532,4335.7615594257895
ID_027533,4432.534367589512
ID_027534,5045.263250926487
ID_027535,6138.663875526687
ID_027536,6502.048468935384
ID_027537,6608.753101923504
ID_027538,6321.118226321227
ID_027539,6008.113859205066
ID_027540,5709.436207058154
ID_027541,5538.953053850409
ID_027542,5360.548913686026
ID_027543,5316.617377210894
ID_027544,5492.766094668591
ID_027545,6164.772190008798
ID_027546,6867.6204650494365
ID_027547,6874.941128002688
ID_027548,6882.678696265487
ID_027549,6800.456695580935
ID_027550,6323.81119144522
ID_027551,5672.620333798144
ID_027552,5093.6510501021
ID_027553,4894.570315551783
ID_027554,4716.44928897307
ID_027555,4699.4241264024995
ID_027556,4706.310461836409
ID_027557,4738.732202070316
ID_027558,5567.575915358313
ID_027559,6270.888536731638
ID_027560,6857.727433263856
ID_027561,6732.708859910205
ID_027562,6668.310485052167
ID_027563,6711.404763404417
ID_027564,6546.2771993120405
ID_027565,6346.364445978279
ID_027566,5971.795344578896
ID_027567,5597.770390857677
ID_027568,5905.793368121901
ID_027569,6298.319697573357
ID_027570,7068.5761663956655
ID_027571,7183.476221053275
ID_027572,7157.9804668639845
ID_027573,6976.71340858175
ID_027574,6612.868490633264
ID_027575,6402.790517741629
ID_027576,5630.832048388483
ID_027577,5279.84040998662
ID_027578,5026.580394272547
ID_027579,5026.3342487113505
ID_027580,5082.606025149414
ID_027581,5070.533298623805
ID_027582,5875.3878308707335
ID_027583,6621.461443295009
ID_027584,7058.3975947368735
ID_027585,7016.136329432289
ID_027586,7015.822151903592
ID_027587,7041.453972632327
ID_027588,7008.398200620379
ID_027589,6876.654876390443
ID_027590,6621.174470930962
ID_027591,6462.821179250507
ID_027592,6467.380996011686
ID_027593,6338.684865628231
ID_027594,7077.830991783227
ID_027595,7300.988059171814
ID_027596,7321.727410279594
ID_027597,7218.790769610615
ID_027598,6746.072536580992
ID_027599,6715.213755451297
ID_027600,6496.5217886677
ID_027601,6330.9330127627745
ID_027602,6200.913705877395
ID_027603,6022.588385782555
ID_027604,5728.404391842322
ID_027605,5809.643169414702
ID_027606,5894.496676338711
ID_027607,6072.100067929105
ID_027608,6071.959895322797
ID_027609,6367.075115944452
ID_027610,6517.87742184922
ID_027611,6568.27213213899
ID_027612,6555.6741299576015
ID_027613,6541.189103892389
ID_027614,6491.836893031521
ID_027615,6130.646594750675
ID_027616,6100.429715860524
ID_027617,6221.417169094477
ID_027618,6860.1886636655845
ID_027619,6985.0786823559765
ID_027620,7128.479187635791
ID_027621,7017.760785876963
ID_027622,6819.461382646521
ID_027623,6784.723894712506
ID_027624,6576.400703747748
ID_027625,6370.197751065886
